Year,SeriesCode,GeoAreaName,Disability status,Grounds of discrimination,Location,Sex,Value
2019,VC_VOV_GDSD,Serbia,_T,DIS,URBAN,FEMALE,0.5
2021,VC_VOV_GDSD,Viet Nam,_T,RELIGION,ALLAREA,MALE,0.2
2021,VC_VOV_GDSD,Viet Nam,_T,AGE,ALLAREA,MALE,2.0
2021,VC_VOV_GDSD,Viet Nam,_T,DIS,ALLAREA,MALE,0.4
2021,VC_VOV_GDSD,Viet Nam,_T,ALL,URBAN,MALE,3.4
2021,VC_VOV_GDSD,Viet Nam,_T,AGE,URBAN,MALE,1.4
2021,VC_VOV_GDSD,Viet Nam,_T,ETHIO,ALLAREA,MALE,0.8
2021,VC_VOV_GDSD,Viet Nam,_T,OTHER,RURAL,MALE,0.5
2021,VC_VOV_GDSD,Viet Nam,_T,DIS,ALLAREA,BOTHSEX,0.3
2021,VC_VOV_GDSD,Viet Nam,_T,DIS,RURAL,BOTHSEX,0.3
2021,VC_VOV_GDSD,Viet Nam,_T,ALL,RURAL,BOTHSEX,3.2
2021,VC_VOV_GDSD,Viet Nam,_T,ALL,URBAN,BOTHSEX,2.9
2021,VC_VOV_GDSD,Viet Nam,_T,SEX,ALLAREA,BOTHSEX,0.55
2021,VC_VOV_GDSD,Viet Nam,_T,RELIGION,URBAN,BOTHSEX,0.15
2021,VC_VOV_GDSD,Viet Nam,_T,AGE,RURAL,BOTHSEX,1.5
2021,VC_VOV_GDSD,Viet Nam,_T,AGE,ALLAREA,BOTHSEX,1.3
2021,VC_VOV_GDSD,Viet Nam,_T,OTHER,ALLAREA,BOTHSEX,0.5
2021,VC_VOV_GDSD,Viet Nam,_T,ALL,ALLAREA,BOTHSEX,3.1
2021,VC_VOV_GDSD,Viet Nam,_T,ETHIO,ALLAREA,BOTHSEX,0.75
2021,VC_VOV_GDSD,Viet Nam,_T,SEXO,RURAL,BOTHSEX,0.2
2021,VC_VOV_GDSD,Viet Nam,_T,ETHIO,RURAL,BOTHSEX,0.65
2021,VC_VOV_GDSD,Viet Nam,_T,ETHIO,URBAN,BOTHSEX,0.85
2021,VC_VOV_GDSD,Viet Nam,_T,SEX,URBAN,BOTHSEX,0.7
2021,VC_VOV_GDSD,Viet Nam,_T,SEXO,URBAN,BOTHSEX,0.2
2021,VC_VOV_GDSD,Viet Nam,_T,SEX,RURAL,BOTHSEX,0.5
2021,VC_VOV_GDSD,Viet Nam,_T,RELIGION,RURAL,FEMALE,0.3
2021,VC_VOV_GDSD,Viet Nam,_T,ETHIO,RURAL,FEMALE,0.8
2021,VC_VOV_GDSD,Viet Nam,_T,SEXO,RURAL,FEMALE,0.3
2021,VC_VOV_GDSD,Viet Nam,_T,SEXO,URBAN,FEMALE,0.3
2018,VC_VOV_GDSD,North Macedonia,_T,DIS,RURAL,FEMALE,1.0
2020,VC_VOV_GDSD,Bulgaria,PD,SEX,ALLAREA,BOTHSEX,0.41
2020,VC_VOV_GDSD,Bulgaria,_T,SEX,ALLAREA,FEMALE,1.15
2020,VC_VOV_GDSD,Bulgaria,_T,ALL,RURAL,BOTHSEX,7.53
2020,VC_VOV_GDSD,Bulgaria,_T,OTHER,URBAN,BOTHSEX,2.14
2020,VC_VOV_GDSD,Bulgaria,PWD,OTHER,ALLAREA,BOTHSEX,1.63
2018,VC_VOV_GDSD,Kyrgyzstan,PD,SEXO,ALLAREA,FEMALE,0.0
2018,VC_VOV_GDSD,Kyrgyzstan,_T,ALL,ALLAREA,FEMALE,7.7
2018,VC_VOV_GDSD,Kyrgyzstan,PWD,ETHI,ALLAREA,FEMALE,3.4
2018,VC_VOV_GDSD,Kyrgyzstan,PD,RELIGION,ALLAREA,FEMALE,4.5
2018,VC_VOV_GDSD,Kyrgyzstan,_T,RELIGION,RURAL,FEMALE,2.0
2018,VC_VOV_GDSD,Kyrgyzstan,PWD,AGE,ALLAREA,FEMALE,2.5
2018,VC_VOV_GDSD,Georgia,PWD,RELIGION,ALLAREA,BOTHSEX,1.9
2018,VC_VOV_GDSD,Georgia,PWD,OTHER,ALLAREA,BOTHSEX,0.77
2018,VC_VOV_GDSD,Georgia,_T,RELIGION,ALLAREA,MALE,1.7
2018,VC_VOV_GDSD,Georgia,PD,SEXO,ALLAREA,MALE,0.0
2018,VC_VOV_GDSD,Georgia,PWD,AGE,ALLAREA,BOTHSEX,1.5
2018,VC_VOV_GDSD,Kyrgyzstan,_T,SEXO,URBAN,FEMALE,0.4
2018,VC_VOV_GDSD,Kyrgyzstan,PD,ALL,ALLAREA,FEMALE,20.7
2018,VC_VOV_GDSD,Kyrgyzstan,PD,AGE,ALLAREA,FEMALE,5.4
2018,VC_VOV_GDSD,Kyrgyzstan,_T,SEX,URBAN,FEMALE,1.2
2018,VC_VOV_GDSD,Kyrgyzstan,_T,SEXO,RURAL,FEMALE,0.3
2018,VC_VOV_GDSD,Kyrgyzstan,_T,DIS,ALLAREA,FEMALE,0.5
2018,VC_VOV_GDSD,Georgia,PD,OTHER,ALLAREA,FEMALE,2.1
2018,VC_VOV_GDSD,Georgia,_T,DIS,RURAL,BOTHSEX,0.35
2018,VC_VOV_GDSD,Georgia,PD,ETHI,ALLAREA,FEMALE,3.5
2018,VC_VOV_GDSD,Georgia,_T,SEX,RURAL,FEMALE,1.1
2018,VC_VOV_GDSD,Georgia,_T,SEXO,RURAL,FEMALE,0.1
2018,VC_VOV_GDSD,Georgia,_T,DIS,ALLAREA,MALE,0.4
2018,VC_VOV_GDSD,Georgia,_T,ETHI,ALLAREA,BOTHSEX,1.15
2018,VC_VOV_GDSD,Georgia,_T,RELIGION,ALLAREA,BOTHSEX,1.9
2018,VC_VOV_GDSD,Georgia,_T,ALL,RURAL,BOTHSEX,3.4
2018,VC_VOV_GDSD,Georgia,_T,OTHER,ALLAREA,MALE,0.5
2018,VC_VOV_GDSD,Kyrgyzstan,_T,AGE,URBAN,FEMALE,2.7
2018,VC_VOV_GDSD,Kyrgyzstan,PWD,OTHER,ALLAREA,FEMALE,0.6
2018,VC_VOV_GDSD,Kyrgyzstan,_T,AGE,RURAL,FEMALE,2.6
2018,VC_VOV_GDSD,Kyrgyzstan,_T,AGE,ALLAREA,FEMALE,2.7
2018,VC_VOV_GDSD,Kyrgyzstan,PWD,ALL,ALLAREA,FEMALE,7.6
2018,VC_VOV_GDSD,Kyrgyzstan,_T,DIS,URBAN,FEMALE,0.5
2021,VC_VOV_GDSD,Uzbekistan,_T,SEXO,ALLAREA,FEMALE,0.2
2021,VC_VOV_GDSD,Uzbekistan,_T,AGE,ALLAREA,FEMALE,2.4
2021,VC_VOV_GDSD,Uzbekistan,PD,ETHIO,ALLAREA,FEMALE,3.6
2021,VC_VOV_GDSD,Uzbekistan,PD,OTHER,ALLAREA,FEMALE,16.2
2021,VC_VOV_GDSD,Uzbekistan,PWD,OTHER,ALLAREA,FEMALE,4.7
2020,VC_VOV_GDSD,Bulgaria,_T,SEX,ALLAREA,MALE,0.41
2018,VC_VOV_GDSD,Kyrgyzstan,PWD,ETHI,ALLAREA,FEMALE,3.4
2018,VC_VOV_GDSD,Kyrgyzstan,_T,ETHI,URBAN,FEMALE,3.0
2018,VC_VOV_GDSD,Kyrgyzstan,_T,ETHI,ALLAREA,FEMALE,3.4
2018,VC_VOV_GDSD,Kyrgyzstan,PWD,RELIGION,ALLAREA,FEMALE,2.2
2018,VC_VOV_GDSD,Kyrgyzstan,PD,OTHER,ALLAREA,FEMALE,1.4
2018,VC_VOV_GDSD,Kyrgyzstan,PD,DIS,ALLAREA,FEMALE,7.9
2020,VC_VOV_GDSD,Bulgaria,PD,OTHER,ALLAREA,BOTHSEX,1.95
2020,VC_VOV_GDSD,Bulgaria,_T,OTHER,ALLAREA,FEMALE,1.58
2020,VC_VOV_GDSD,Bulgaria,_T,OTHER,ALLAREA,MALE,2.34
2020,VC_VOV_GDSD,Bulgaria,_T,SEXOGENID,ALLAREA,BOTHSEX,0.1
2020,VC_VOV_GDSD,Bulgaria,_T,ETHCOLLAN,URBAN,BOTHSEX,1.85
2020,VC_VOV_GDSD,Bulgaria,_T,RELIGION,ALLAREA,FEMALE,0.34
2018,VC_VOV_GDSD,Kyrgyzstan,PD,ETHI,ALLAREA,FEMALE,5.8
2018,VC_VOV_GDSD,Kyrgyzstan,_T,ALL,URBAN,FEMALE,7.9
2018,VC_VOV_GDSD,Kyrgyzstan,_T,ETHI,RURAL,FEMALE,3.6
2018,VC_VOV_GDSD,Kyrgyzstan,_T,OTHER,RURAL,FEMALE,0.7
2018,VC_VOV_GDSD,Kyrgyzstan,_T,DIS,RURAL,FEMALE,0.5
2018,VC_VOV_GDSD,Kyrgyzstan,_T,RELIGION,URBAN,FEMALE,2.4
2018,VC_VOV_GDSD,Kyrgyzstan,_T,RELIGION,ALLAREA,FEMALE,2.1
2018,VC_VOV_GDSD,Kyrgyzstan,_T,SEX,RURAL,FEMALE,1.2
2018,VC_VOV_GDSD,Kyrgyzstan,PWD,SEXO,ALLAREA,FEMALE,0.4
2018,VC_VOV_GDSD,Kyrgyzstan,PWD,SEX,ALLAREA,FEMALE,1.2
2018,VC_VOV_GDSD,Kyrgyzstan,_T,ALL,RURAL,FEMALE,7.6
2018,VC_VOV_GDSD,Kyrgyzstan,PWD,DIS,ALLAREA,FEMALE,0.4
2020,VC_VOV_GDSD,Bulgaria,_T,DISHEA,URBAN,BOTHSEX,0.34
2020,VC_VOV_GDSD,Bulgaria,PWD,DISHEA,ALLAREA,BOTHSEX,0.04
2020,VC_VOV_GDSD,Bulgaria,_T,DISHEA,RURAL,BOTHSEX,0.43
2020,VC_VOV_GDSD,Bulgaria,_T,ETHCOLLAN,ALLAREA,MALE,2.25
2020,VC_VOV_GDSD,Bulgaria,PWD,AGE,ALLAREA,BOTHSEX,1.28
2020,VC_VOV_GDSD,Bulgaria,_T,ALL,ALLAREA,BOTHSEX,7.34
2020,VC_VOV_GDSD,Bulgaria,_T,RELIGION,ALLAREA,MALE,0.29
2020,VC_VOV_GDSD,Bulgaria,PD,SEXOGENID,ALLAREA,BOTHSEX,0.02
2020,VC_VOV_GDSD,Bulgaria,_T,ETHCOLLAN,ALLAREA,BOTHSEX,2.08
2020,VC_VOV_GDSD,Bulgaria,_T,SEXOGENID,RURAL,BOTHSEX,0.12
2020,VC_VOV_GDSD,Bulgaria,_T,DISHEA,ALLAREA,FEMALE,0.39
2020,VC_VOV_GDSD,Bulgaria,_T,DISHEA,ALLAREA,MALE,0.34
2018,VC_VOV_GDSD,Kyrgyzstan,_T,OTHER,URBAN,FEMALE,0.5
2018,VC_VOV_GDSD,Kyrgyzstan,_T,OTHER,ALLAREA,FEMALE,0.6
2018,VC_VOV_GDSD,Kyrgyzstan,_T,SEX,ALLAREA,FEMALE,1.2
2018,VC_VOV_GDSD,Kyrgyzstan,_T,SEXO,ALLAREA,FEMALE,0.4
2018,VC_VOV_GDSD,Kyrgyzstan,PD,SEX,ALLAREA,FEMALE,1.0
2018,VC_VOV_GDSD,Kyrgyzstan,_T,ALL,ALLAREA,FEMALE,7.7
2020,VC_VOV_GDSD,Bulgaria,PWD,ALL,ALLAREA,BOTHSEX,6.31
2020,VC_VOV_GDSD,Bulgaria,PD,ALL,ALLAREA,BOTHSEX,8.93
2020,VC_VOV_GDSD,Bulgaria,_T,ALL,ALLAREA,FEMALE,7.11
2020,VC_VOV_GDSD,Bulgaria,_T,AGE,URBAN,BOTHSEX,1.8
2020,VC_VOV_GDSD,Bulgaria,_T,ALL,URBAN,BOTHSEX,7.28
2020,VC_VOV_GDSD,Bulgaria,_T,SEXOGENID,URBAN,BOTHSEX,0.09
2020,VC_VOV_GDSD,Bulgaria,_T,OTHER,RURAL,BOTHSEX,1.41
2020,VC_VOV_GDSD,Bulgaria,_T,OTHER,ALLAREA,BOTHSEX,1.95
2020,VC_VOV_GDSD,Bulgaria,_T,RELIGION,ALLAREA,BOTHSEX,0.32
2020,VC_VOV_GDSD,Bulgaria,_T,RELIGION,RURAL,BOTHSEX,0.58
2020,VC_VOV_GDSD,Bulgaria,_T,RELIGION,URBAN,BOTHSEX,0.22
2020,VC_VOV_GDSD,Bulgaria,PWD,RELIGION,ALLAREA,BOTHSEX,0.35
2018,VC_VOV_GDSD,Kyrgyzstan,PD,SEXO,ALLAREA,FEMALE,0.0
2017,VC_VOV_GDSD,Mexico,_T,AGE,ALLAREA,MALE,5.4
2017,VC_VOV_GDSD,Mexico,_T,ALL,ALLAREA,MALE,20.2
2017,VC_VOV_GDSD,Mexico,_T,AGE,ALLAREA,FEMALE,5.2
2017,VC_VOV_GDSD,Mexico,_T,ALL,ALLAREA,FEMALE,20.1
2019,VC_VOV_GDSD,Belarus,_T,ALL,ALLAREA,MALE,4.0
2019,VC_VOV_GDSD,Belarus,_T,MIG,URBAN,FEMALE,0.4
2019,VC_VOV_GDSD,Belarus,PD,MIG,ALLAREA,FEMALE,0.0
2019,VC_VOV_GDSD,Belarus,_T,DIS,URBAN,MALE,1.2
2019,VC_VOV_GDSD,Belarus,_T,RELIGION,ALLAREA,FEMALE,0.6
2020,VC_VOV_GDSD,Bulgaria,PD,RELIGION,ALLAREA,BOTHSEX,0.23
2020,VC_VOV_GDSD,Bulgaria,_T,SEXOGENID,ALLAREA,FEMALE,0.17
2020,VC_VOV_GDSD,Bulgaria,_T,SEX,ALLAREA,BOTHSEX,0.79
2020,VC_VOV_GDSD,Bulgaria,_T,AGE,ALLAREA,MALE,1.76
2020,VC_VOV_GDSD,Bulgaria,PD,AGE,ALLAREA,BOTHSEX,3.55
2020,VC_VOV_GDSD,Bulgaria,_T,AGE,ALLAREA,FEMALE,2.03
2019,VC_VOV_GDSD,Belarus,_T,AGE,RURAL,FEMALE,0.8
2019,VC_VOV_GDSD,Belarus,_T,ALL,URBAN,BOTHSEX,4.6
2019,VC_VOV_GDSD,Belarus,_T,SEXO,ALLAREA,MALE,0.1
2019,VC_VOV_GDSD,Belarus,_T,ALL,RURAL,BOTHSEX,3.55
2019,VC_VOV_GDSD,Belarus,_T,AGE,RURAL,MALE,1.3
2020,VC_VOV_GDSD,Bulgaria,_T,ETHCOLLAN,RURAL,BOTHSEX,2.74
2020,VC_VOV_GDSD,Bulgaria,PD,DISHEA,ALLAREA,BOTHSEX,1.37
2020,VC_VOV_GDSD,Bulgaria,_T,AGE,ALLAREA,BOTHSEX,1.9
2020,VC_VOV_GDSD,Bulgaria,_T,DISHEA,ALLAREA,BOTHSEX,0.36
2020,VC_VOV_GDSD,Bulgaria,PWD,ETHCOLLAN,ALLAREA,BOTHSEX,2.25
2020,VC_VOV_GDSD,Bulgaria,PWD,SEXOGENID,ALLAREA,BOTHSEX,0.13
2017,VC_VOV_GDSD,Mexico,_T,SOCIOECON,ALLAREA,MALE,4.0
2017,VC_VOV_GDSD,Mexico,_T,SEXO,ALLAREA,BOTHSEX,0.7
2017,VC_VOV_GDSD,Mexico,_T,ALL,ALLAREA,BOTHSEX,20.2
2017,VC_VOV_GDSD,Mexico,_T,AGE,ALLAREA,BOTHSEX,5.3
2017,VC_VOV_GDSD,Mexico,_T,GEO,ALLAREA,BOTHSEX,4.0
2020,VC_VOV_GDSD,Bulgaria,PD,ETHCOLLAN,ALLAREA,BOTHSEX,1.45
2020,VC_VOV_GDSD,Bulgaria,_T,ETHCOLLAN,ALLAREA,FEMALE,1.93
2020,VC_VOV_GDSD,Bulgaria,_T,SEXOGENID,ALLAREA,MALE,0.02
2020,VC_VOV_GDSD,Bulgaria,_T,AGE,RURAL,BOTHSEX,2.19
2020,VC_VOV_GDSD,Bulgaria,_T,ALL,ALLAREA,MALE,7.59
2020,VC_VOV_GDSD,Bulgaria,_T,SEX,RURAL,BOTHSEX,0.77
2017,VC_VOV_GDSD,Mexico,_T,SOCIOECON,ALLAREA,FEMALE,3.2
2017,VC_VOV_GDSD,Mexico,_T,SEXO,ALLAREA,MALE,0.6
2017,VC_VOV_GDSD,Mexico,_T,OTHER,ALLAREA,MALE,13.2
2017,VC_VOV_GDSD,Mexico,_T,OTHER,ALLAREA,FEMALE,11.5
2017,VC_VOV_GDSD,Mexico,_T,RELIGION,ALLAREA,FEMALE,6.5
2017,VC_VOV_GDSD,Mexico,_T,RELIGION,ALLAREA,MALE,5.0
2017,VC_VOV_GDSD,Mexico,_T,SEX,ALLAREA,MALE,1.1
2017,VC_VOV_GDSD,Mexico,_T,GEO,ALLAREA,MALE,4.4
2017,VC_VOV_GDSD,Mexico,_T,SEX,ALLAREA,BOTHSEX,3.6
2017,VC_VOV_GDSD,Mexico,_T,SEX,ALLAREA,FEMALE,5.9
2018,VC_VOV_GDSD,Georgia,PWD,SEXO,ALLAREA,BOTHSEX,0.3
2018,VC_VOV_GDSD,Georgia,PWD,SEXO,ALLAREA,FEMALE,0.3
2018,VC_VOV_GDSD,Georgia,_T,ETHI,RURAL,FEMALE,0.8
2018,VC_VOV_GDSD,Georgia,PD,DIS,ALLAREA,FEMALE,1.0
2018,VC_VOV_GDSD,Georgia,PD,ALL,ALLAREA,FEMALE,10.9
2019,VC_VOV_GDSD,Belarus,_T,OTHER,ALLAREA,BOTHSEX,0.8
2019,VC_VOV_GDSD,Belarus,_T,OTHER,ALLAREA,MALE,0.4
2019,VC_VOV_GDSD,Belarus,_T,MIG,ALLAREA,FEMALE,0.3
2019,VC_VOV_GDSD,Belarus,_T,SEXO,RURAL,FEMALE,0.0
2019,VC_VOV_GDSD,Belarus,PWD,OTHER,ALLAREA,FEMALE,1.2
2019,VC_VOV_GDSD,Belarus,_T,SEXO,URBAN,MALE,0.1
2019,VC_VOV_GDSD,Belarus,PD,DIS,ALLAREA,FEMALE,13.0
2019,VC_VOV_GDSD,Belarus,_T,SEX,URBAN,MALE,0.6
2019,VC_VOV_GDSD,Belarus,_T,ALL,URBAN,MALE,3.8
2019,VC_VOV_GDSD,Belarus,_T,SEXO,URBAN,BOTHSEX,0.1
2019,VC_VOV_GDSD,Belarus,_T,AGE,URBAN,FEMALE,2.1
2019,VC_VOV_GDSD,Belarus,_T,MIG,RURAL,FEMALE,0.1
2019,VC_VOV_GDSD,Belarus,_T,SEXO,ALLAREA,BOTHSEX,0.1
2019,VC_VOV_GDSD,Belarus,_T,DIS,ALLAREA,FEMALE,0.6
2019,VC_VOV_GDSD,Belarus,_T,ALL,RURAL,MALE,4.7
2020,VC_VOV_GDSD,Bulgaria,_T,SEX,URBAN,BOTHSEX,0.8
2020,VC_VOV_GDSD,Bulgaria,PWD,SEX,ALLAREA,BOTHSEX,0.69
2015,VC_VOV_GDSD,Poland,_T,ALL,RURAL,BOTHSEX,7.0
2015,VC_VOV_GDSD,Poland,_T,ALL,URBAN,BOTHSEX,8.9
2015,VC_VOV_GDSD,Poland,_T,ALL,ALLAREA,BOTHSEX,8.2
2015,VC_VOV_GDSD,Poland,_T,ALL,ALLAREA,FEMALE,8.6
2017,VC_VOV_GDSD,Mexico,_T,OTHER,ALLAREA,BOTHSEX,12.3
2017,VC_VOV_GDSD,Mexico,_T,GEO,ALLAREA,FEMALE,3.6
2017,VC_VOV_GDSD,Mexico,_T,SEXO,ALLAREA,FEMALE,0.8
2017,VC_VOV_GDSD,Mexico,_T,SOCIOECON,ALLAREA,BOTHSEX,3.6
2017,VC_VOV_GDSD,Mexico,_T,ALL,URBAN,BOTHSEX,20.9
2017,VC_VOV_GDSD,Mexico,_T,ALL,RURAL,BOTHSEX,17.6
2017,VC_VOV_GDSD,Mexico,_T,RELIGION,ALLAREA,BOTHSEX,5.8
2018,VC_VOV_GDSD,Republic of Moldova,_T,AGE,ALLAREA,BOTHSEX,18.0
2018,VC_VOV_GDSD,Republic of Moldova,_T,RELIGION,ALLAREA,BOTHSEX,3.0
2018,VC_VOV_GDSD,Republic of Moldova,_T,ALL,URBAN,BOTHSEX,28.6
2018,VC_VOV_GDSD,Republic of Moldova,_T,SEX,ALLAREA,BOTHSEX,17.0
2019,VC_VOV_GDSD,Belarus,_T,DIS,URBAN,FEMALE,0.7
2019,VC_VOV_GDSD,Belarus,_T,ALL,ALLAREA,BOTHSEX,4.4
2019,VC_VOV_GDSD,Belarus,PWD,RELIGION,ALLAREA,FEMALE,0.6
2019,VC_VOV_GDSD,Belarus,PD,AGE,ALLAREA,FEMALE,9.8
2019,VC_VOV_GDSD,Belarus,PWD,ALL,ALLAREA,FEMALE,4.6
2019,VC_VOV_GDSD,Belarus,_T,OTHER,RURAL,MALE,0.5
2019,VC_VOV_GDSD,Belarus,PWD,DIS,ALLAREA,FEMALE,0.5
2019,VC_VOV_GDSD,Belarus,_T,ALL,ALLAREA,FEMALE,4.8
2019,VC_VOV_GDSD,Belarus,_T,MIG,URBAN,BOTHSEX,0.25
2019,VC_VOV_GDSD,Belarus,_T,AGE,ALLAREA,MALE,1.6
2018,VC_VOV_GDSD,Republic of Moldova,_T,OTHER,ALLAREA,BOTHSEX,26.0
2018,VC_VOV_GDSD,Republic of Moldova,_T,ETH,ALLAREA,BOTHSEX,13.0
2018,VC_VOV_GDSD,Republic of Moldova,_T,DIS,ALLAREA,BOTHSEX,8.0
2018,VC_VOV_GDSD,Republic of Moldova,_T,SOCIOECON,ALLAREA,BOTHSEX,23.0
2018,VC_VOV_GDSD,Republic of Moldova,_T,ALL,ALLAREA,BOTHSEX,26.3
2018,VC_VOV_GDSD,Republic of Moldova,_T,ALL,ALLAREA,FEMALE,26.0
2018,VC_VOV_GDSD,Georgia,_T,ALL,RURAL,FEMALE,3.9
2018,VC_VOV_GDSD,Georgia,_T,ALL,RURAL,MALE,2.9
2018,VC_VOV_GDSD,Georgia,_T,AGE,RURAL,MALE,0.5
2018,VC_VOV_GDSD,Georgia,PD,ALL,ALLAREA,BOTHSEX,7.35
2018,VC_VOV_GDSD,Georgia,PD,DIS,ALLAREA,BOTHSEX,0.67
2018,VC_VOV_GDSD,Republic of Moldova,_T,ALL,RURAL,BOTHSEX,24.2
2018,VC_VOV_GDSD,Republic of Moldova,_T,ALL,ALLAREA,MALE,26.6
2018,VC_VOV_GDSD,Montenegro,_T,OTHER,RURAL,BOTHSEX,1.0
2018,VC_VOV_GDSD,Montenegro,_T,ALL,ALLAREA,BOTHSEX,6.05
2018,VC_VOV_GDSD,Montenegro,_T,SEXO,ALLAREA,BOTHSEX,0.15
2018,VC_VOV_GDSD,Montenegro,_T,RELIGION,RURAL,BOTHSEX,1.6
2018,VC_VOV_GDSD,Montenegro,_T,SEX,RURAL,BOTHSEX,0.4
2018,VC_VOV_GDSD,Montenegro,_T,RELIGION,RURAL,FEMALE,1.2
2018,VC_VOV_GDSD,Montenegro,_T,DIS,ALLAREA,BOTHSEX,0.4
2018,VC_VOV_GDSD,Montenegro,_T,SEXO,URBAN,BOTHSEX,0.25
2018,VC_VOV_GDSD,Montenegro,_T,ETHI,RURAL,BOTHSEX,1.0
2015,VC_VOV_GDSD,Poland,_T,ALL,ALLAREA,MALE,7.7
2018,VC_VOV_GDSD,Poland,_T,ALL,ALLAREA,MALE,6.9
2018,VC_VOV_GDSD,Poland,_T,ALL,URBAN,BOTHSEX,7.6
2018,VC_VOV_GDSD,Poland,_T,ALL,ALLAREA,FEMALE,6.1
2018,VC_VOV_GDSD,Poland,_T,ALL,RURAL,BOTHSEX,4.7
2018,VC_VOV_GDSD,Poland,_T,ALL,ALLAREA,BOTHSEX,6.5
2019,VC_VOV_GDSD,Belarus,_T,RELIGION,RURAL,FEMALE,0.5
2019,VC_VOV_GDSD,Belarus,_T,RELIGION,RURAL,BOTHSEX,0.6
2019,VC_VOV_GDSD,Belarus,_T,SEX,RURAL,MALE,0.3
2019,VC_VOV_GDSD,Belarus,_T,SEX,RURAL,FEMALE,0.5
2019,VC_VOV_GDSD,Belarus,_T,SEX,RURAL,BOTHSEX,0.4
2019,VC_VOV_GDSD,Belarus,_T,RELIGION,ALLAREA,MALE,0.4
2019,VC_VOV_GDSD,Belarus,_T,AGE,RURAL,BOTHSEX,1.05
2019,VC_VOV_GDSD,Belarus,_T,SEXO,ALLAREA,FEMALE,0.1
2019,VC_VOV_GDSD,Belarus,_T,AGE,URBAN,BOTHSEX,1.85
2019,VC_VOV_GDSD,Belarus,_T,SEX,URBAN,FEMALE,1.4
2019,VC_VOV_GDSD,Serbia,_T,AGE,ALLAREA,FEMALE,1.8
2019,VC_VOV_GDSD,Serbia,_T,SEXO,ALLAREA,FEMALE,0.3
2019,VC_VOV_GDSD,Serbia,_T,ETHI,ALLAREA,FEMALE,1.5
2019,VC_VOV_GDSD,Serbia,_T,SEXO,RURAL,FEMALE,0.0
2019,VC_VOV_GDSD,Serbia,_T,OTHER,URBAN,FEMALE,2.4
2019,VC_VOV_GDSD,Serbia,_T,ALL,RURAL,FEMALE,4.8
2019,VC_VOV_GDSD,Serbia,_T,AGE,URBAN,FEMALE,2.4
2019,VC_VOV_GDSD,Serbia,_T,RELIGION,URBAN,FEMALE,0.9
2018,VC_VOV_GDSD,Montenegro,_T,ALL,URBAN,BOTHSEX,7.05
2018,VC_VOV_GDSD,Montenegro,_T,AGE,ALLAREA,BOTHSEX,0.7
2018,VC_VOV_GDSD,Montenegro,_T,OTHER,RURAL,FEMALE,0.5
2018,VC_VOV_GDSD,Montenegro,_T,RELIGION,ALLAREA,BOTHSEX,2.25
2018,VC_VOV_GDSD,Montenegro,_T,SEX,ALLAREA,BOTHSEX,1.25
2018,VC_VOV_GDSD,Montenegro,_T,ALL,RURAL,FEMALE,2.7
2018,VC_VOV_GDSD,Montenegro,_T,AGE,ALLAREA,MALE,0.4
2018,VC_VOV_GDSD,Montenegro,_T,DIS,URBAN,MALE,0.4
2018,VC_VOV_GDSD,Montenegro,_T,OTHER,ALLAREA,FEMALE,1.2
2018,VC_VOV_GDSD,Montenegro,_T,OTHER,RURAL,MALE,1.5
2019,VC_VOV_GDSD,Serbia,_T,SEX,ALLAREA,FEMALE,3.4
2019,VC_VOV_GDSD,Serbia,_T,AGE,RURAL,FEMALE,0.8
2019,VC_VOV_GDSD,Serbia,_T,OTHER,RURAL,FEMALE,1.6
2019,VC_VOV_GDSD,Serbia,_T,ALL,URBAN,FEMALE,8.1
2019,VC_VOV_GDSD,Belarus,_T,OTHER,URBAN,FEMALE,1.3
2019,VC_VOV_GDSD,Belarus,_T,OTHER,URBAN,BOTHSEX,0.85
2019,VC_VOV_GDSD,Belarus,_T,RELIGION,URBAN,FEMALE,0.7
2019,VC_VOV_GDSD,Belarus,_T,RELIGION,URBAN,BOTHSEX,0.55
2019,VC_VOV_GDSD,Belarus,_T,RELIGION,URBAN,MALE,0.4
2018,VC_VOV_GDSD,Montenegro,_T,ALL,ALLAREA,MALE,6.5
2018,VC_VOV_GDSD,Montenegro,_T,RELIGION,RURAL,MALE,2.0
2018,VC_VOV_GDSD,Montenegro,_T,AGE,RURAL,FEMALE,0.7
2018,VC_VOV_GDSD,Montenegro,_T,AGE,RURAL,MALE,0.6
2018,VC_VOV_GDSD,Montenegro,_T,SEXO,RURAL,FEMALE,0.1
2019,VC_VOV_GDSD,Serbia,_T,DIS,URBAN,FEMALE,0.5
2019,VC_VOV_GDSD,Serbia,_T,DIS,ALLAREA,FEMALE,0.4
2019,VC_VOV_GDSD,Serbia,_T,OTHER,ALLAREA,FEMALE,2.1
2019,VC_VOV_GDSD,Serbia,_T,SEX,URBAN,FEMALE,4.3
2019,VC_VOV_GDSD,Belarus,_T,SEX,URBAN,BOTHSEX,1.0
2019,VC_VOV_GDSD,Belarus,_T,ALL,URBAN,FEMALE,5.4
2019,VC_VOV_GDSD,Belarus,_T,DIS,RURAL,BOTHSEX,1.15
2019,VC_VOV_GDSD,Belarus,PWD,SEXO,ALLAREA,FEMALE,0.1
2019,VC_VOV_GDSD,Belarus,_T,MIG,URBAN,MALE,0.1
