Year,SeriesCode,Country,Age,Name of non-communicable disease,Sex,Value
2000,SH_DTH_NCOM,Republic of Korea,30-70,,Male,23.0
2000,SH_DTH_NCOM,Republic of Korea,30-70,,Both sexes,16.5
2000,SH_DTH_NCOM,Republic of Korea,30-70,,Female,10.6
2005,SH_DTH_NCOM,Republic of Korea,30-70,,Both sexes,13.5
2005,SH_DTH_NCOM,Republic of Korea,30-70,,Female,8.5
2005,SH_DTH_NCOM,Republic of Korea,30-70,,Male,18.7
2010,SH_DTH_NCOM,Republic of Korea,30-70,,Male,14.9
2010,SH_DTH_NCOM,Republic of Korea,30-70,,Female,6.4
2010,SH_DTH_NCOM,Republic of Korea,30-70,,Both sexes,10.6
2015,SH_DTH_NCOM,Republic of Korea,30-70,,Both sexes,8.4
2015,SH_DTH_NCOM,Republic of Korea,30-70,,Female,5.1
2015,SH_DTH_NCOM,Republic of Korea,30-70,,Male,11.7
2019,SH_DTH_NCOM,Republic of Korea,30-70,,Both sexes,7.3
2019,SH_DTH_NCOM,Republic of Korea,30-70,,Female,4.4
2019,SH_DTH_NCOM,Republic of Korea,30-70,,Male,10.1
2000,SH_DTH_NCOM,Kyrgyzstan,30-70,,Both sexes,33.5
2000,SH_DTH_NCOM,Kyrgyzstan,30-70,,Female,25.6
2000,SH_DTH_NCOM,Kyrgyzstan,30-70,,Male,41.8
2005,SH_DTH_NCOM,Kyrgyzstan,30-70,,Both sexes,32.5
2005,SH_DTH_NCOM,Kyrgyzstan,30-70,,Female,24.5
2005,SH_DTH_NCOM,Kyrgyzstan,30-70,,Male,41.0
2010,SH_DTH_NCOM,Kyrgyzstan,30-70,,Both sexes,27.9
2010,SH_DTH_NCOM,Kyrgyzstan,30-70,,Female,20.3
2010,SH_DTH_NCOM,Kyrgyzstan,30-70,,Male,36.2
2015,SH_DTH_NCOM,Kyrgyzstan,30-70,,Male,33.1
2015,SH_DTH_NCOM,Kyrgyzstan,30-70,,Both sexes,24.9
2015,SH_DTH_NCOM,Kyrgyzstan,30-70,,Female,17.7
2019,SH_DTH_NCOM,Kyrgyzstan,30-70,,Both sexes,20.3
2019,SH_DTH_NCOM,Kyrgyzstan,30-70,,Female,15.0
2019,SH_DTH_NCOM,Kyrgyzstan,30-70,,Male,26.5
2000,SH_DTH_NCOM,Latvia,30-70,,Male,40.0
2000,SH_DTH_NCOM,Latvia,30-70,,Both sexes,27.9
2000,SH_DTH_NCOM,Latvia,30-70,,Female,17.9
2005,SH_DTH_NCOM,Latvia,30-70,,Both sexes,28.4
2005,SH_DTH_NCOM,Latvia,30-70,,Female,17.3
2005,SH_DTH_NCOM,Latvia,30-70,,Male,41.6
2010,SH_DTH_NCOM,Latvia,30-70,,Both sexes,26.0
2010,SH_DTH_NCOM,Latvia,30-70,,Female,16.6
2010,SH_DTH_NCOM,Latvia,30-70,,Male,37.5
2015,SH_DTH_NCOM,Latvia,30-70,,Both sexes,22.0
2015,SH_DTH_NCOM,Latvia,30-70,,Female,13.9
2015,SH_DTH_NCOM,Latvia,30-70,,Male,31.9
2019,SH_DTH_NCOM,Latvia,30-70,,Both sexes,21.6
2019,SH_DTH_NCOM,Latvia,30-70,,Female,13.5
2019,SH_DTH_NCOM,Latvia,30-70,,Male,31.2
2000,SH_DTH_NCOM,Lithuania,30-70,,Both sexes,24.2
2000,SH_DTH_NCOM,Lithuania,30-70,,Male,34.6
2000,SH_DTH_NCOM,Lithuania,30-70,,Female,15.5
2005,SH_DTH_NCOM,Lithuania,30-70,,Both sexes,25.7
2005,SH_DTH_NCOM,Lithuania,30-70,,Female,15.4
2005,SH_DTH_NCOM,Lithuania,30-70,,Male,37.7
2010,SH_DTH_NCOM,Lithuania,30-70,,Male,35.0
2010,SH_DTH_NCOM,Lithuania,30-70,,Both sexes,23.7
2010,SH_DTH_NCOM,Lithuania,30-70,,Female,14.2
2015,SH_DTH_NCOM,Lithuania,30-70,,Female,13.2
2015,SH_DTH_NCOM,Lithuania,30-70,,Both sexes,22.2
2015,SH_DTH_NCOM,Lithuania,30-70,,Male,32.8
2019,SH_DTH_NCOM,Lithuania,30-70,,Both sexes,19.3
2019,SH_DTH_NCOM,Lithuania,30-70,,Female,11.7
2019,SH_DTH_NCOM,Lithuania,30-70,,Male,28.4
2000,SH_DTH_NCOM,Luxembourg,30-70,,Both sexes,15.2
2000,SH_DTH_NCOM,Luxembourg,30-70,,Female,10.9
2000,SH_DTH_NCOM,Luxembourg,30-70,,Male,19.5
2005,SH_DTH_NCOM,Luxembourg,30-70,,Female,9.7
2005,SH_DTH_NCOM,Luxembourg,30-70,,Male,17.5
2005,SH_DTH_NCOM,Luxembourg,30-70,,Both sexes,13.6
2010,SH_DTH_NCOM,Luxembourg,30-70,,Both sexes,11.8
2010,SH_DTH_NCOM,Luxembourg,30-70,,Female,9.1
2010,SH_DTH_NCOM,Luxembourg,30-70,,Male,14.4
2015,SH_DTH_NCOM,Luxembourg,30-70,,Both sexes,9.7
2015,SH_DTH_NCOM,Luxembourg,30-70,,Female,7.4
2015,SH_DTH_NCOM,Luxembourg,30-70,,Male,11.9
2019,SH_DTH_NCOM,Luxembourg,30-70,,Both sexes,9.7
2019,SH_DTH_NCOM,Luxembourg,30-70,,Female,7.4
2019,SH_DTH_NCOM,Luxembourg,30-70,,Male,12.0
2000,SH_DTH_NCOM,Malta,30-70,,Female,11.9
2000,SH_DTH_NCOM,Malta,30-70,,Male,20.1
2000,SH_DTH_NCOM,Malta,30-70,,Both sexes,15.8
2005,SH_DTH_NCOM,Malta,30-70,,Both sexes,13.2
2005,SH_DTH_NCOM,Malta,30-70,,Female,10.2
2005,SH_DTH_NCOM,Malta,30-70,,Male,16.5
2010,SH_DTH_NCOM,Malta,30-70,,Male,14.8
2010,SH_DTH_NCOM,Malta,30-70,,Both sexes,11.8
2010,SH_DTH_NCOM,Malta,30-70,,Female,8.8
2015,SH_DTH_NCOM,Malta,30-70,,Both sexes,10.7
2015,SH_DTH_NCOM,Malta,30-70,,Female,8.1
2015,SH_DTH_NCOM,Malta,30-70,,Male,13.4
2019,SH_DTH_NCOM,Malta,30-70,,Female,8.2
2019,SH_DTH_NCOM,Malta,30-70,,Male,12.9
2019,SH_DTH_NCOM,Malta,30-70,,Both sexes,10.5
2000,SH_DTH_NCOM,Mexico,30-70,,Female,16.0
2000,SH_DTH_NCOM,Mexico,30-70,,Male,17.6
2000,SH_DTH_NCOM,Mexico,30-70,,Both sexes,16.7
2005,SH_DTH_NCOM,Mexico,30-70,,Both sexes,16.7
2005,SH_DTH_NCOM,Mexico,30-70,,Female,15.7
2005,SH_DTH_NCOM,Mexico,30-70,,Male,17.8
2010,SH_DTH_NCOM,Mexico,30-70,,Both sexes,15.9
2010,SH_DTH_NCOM,Mexico,30-70,,Female,14.5
2010,SH_DTH_NCOM,Mexico,30-70,,Male,17.5
2015,SH_DTH_NCOM,Mexico,30-70,,Both sexes,15.7
2015,SH_DTH_NCOM,Mexico,30-70,,Female,13.9
2015,SH_DTH_NCOM,Mexico,30-70,,Male,17.7
2019,SH_DTH_NCOM,Mexico,30-70,,Both sexes,15.6
2019,SH_DTH_NCOM,Mexico,30-70,,Female,13.5
2019,SH_DTH_NCOM,Uzbekistan,30-70,,Male,29.8
2019,SH_DTH_NCOM,Mexico,30-70,,Male,18.0
2019,SH_DTH_NCOM,Mexico,30-70,,Male,18.0
