Indicator,Reporting status,UN custodian agency,Non-statistical,Show map,Geographical coverage,Units,Graph type
#8-4-2-EN_MAT_DOMCMPT,complete,,,,custom.central_asia,,line
#8-5-1,notstarted,International Labour Organization (ILO),True,,,,line
#8-5-1-SL_EMP_EARN,complete,,,,custom.central_asia,,line
#8-5-2,notstarted,International Labour Organization (ILO) ,True,,,,line
#8-5-2-SL_TLF_UEM,complete,,,,custom.central_asia,,line
#8-5-2-SL_TLF_UEMDIS,complete,,,,custom.central_asia,,line
#8-5-2-SL_TLF_UEMDIS_19ICLS,complete,,,,custom.central_asia,,line
#8-5-2-SL_TLF_UEM_19ICLS,complete,,,,custom.central_asia,,line
#8-6-1,notstarted,International Labour Organization (ILO),True,,,,line
#8-6-1-SL_TLF_NEET,complete,,,,custom.central_asia,,line
#8-6-1-SL_TLF_NEET_19ICLS,complete,,,,custom.central_asia,,line
#8-7-1,notstarted,"United Nations Children&apos;s Fund (UNICEF)
International Labour Organization (ILO)",True,,,,line
#8-7-1-SL_TLF_CHLDEA,complete,,,,custom.central_asia,,line
#8-7-1-SL_TLF_CHLDEC,complete,,,,custom.central_asia,,line
#8-8-1,notstarted,International Labour Organisation (ILO),True,,,,line
#8-8-1-SL_EMP_FTLINJUR,complete,,,,custom.central_asia,,line
#8-8-1-SL_EMP_INJUR,complete,,,,custom.central_asia,,line
#8-8-2,complete,International Labour Organization (ILO),,,custom.central_asia,,line
#8-9-1,complete,World Tourism Organization (UNWTO) ,,,custom.central_asia,,line
#8-a-1,notstarted,Organisation for Economic Co-operation and Development (OECD) ,True,,,,line
#8-a-1-DC_TOF_TRDCMDL,complete,,,,custom.central_asia,,line
#8-a-1-DC_TOF_TRDCML,complete,,,,custom.central_asia,,line
#8-a-1-DC_TOF_TRDDBMDL,complete,,,,custom.central_asia,,line
#8-a-1-DC_TOF_TRDDBML,complete,,,,custom.central_asia,,line
#8-b-1,complete,International Labour Organization (ILO) ,,,custom.central_asia,,line
#9-1-1,complete,World Bank,,,custom.central_asia,,line
#9-1-2,notstarted,International Civil Aviation Organization (ICAO); International Transport Forum (ITF); United Nations Conference on Trade and Development (UNCTAD).,True,,,,line
#9-1-2-IS_RDP_FRGVOL,complete,,,,custom.central_asia,,line
#9-1-2-IS_RDP_PFVOL,complete,,,,custom.central_asia,,line
#9-1-2-IS_RDP_PORFVOL,complete,,,,custom.central_asia,,line
#9-2-1,notstarted,United Nations Industrial Development Organization (UNIDO),True,,,,line
#9-2-1-NV_IND_MANF,complete,,,,custom.central_asia,,line
#9-2-1-NV_IND_MANFPC,complete,,,,custom.central_asia,,line
#9-2-1-NV_IND_MANF_CD,complete,,,,custom.central_asia,,line
#9-2-2,notstarted,"United Nations Industrial Development Organization (UNIDO)
(with the collaboration of the International Labour Organization &#x2013; ILO)",True,,,,line
#9-2-2-SL_TLF_MANF,complete,,,,custom.central_asia,,line
#9-2-2-SL_TLF_MANF_19ICLS,complete,,,,custom.central_asia,,line
#9-3-1,complete,United Nations Industrial Development Organization (UNIDO),,,custom.central_asia,,line
#9-3-2,complete,"United Nations Industrial Development Organization (UNIDO)
World Bank",,,custom.central_asia,,line
#9-4-1,notstarted,"International Energy Agency (IEA)
United Nations Industrial Development Organization (UNIDO)",True,,,,line
#9-4-1-EN_ATM_CO2,complete,,,,custom.central_asia,,line
#9-4-1-EN_ATM_CO2GDP,complete,,,,custom.central_asia,,line
#9-4-1-EN_ATM_CO2MVA,complete,,,,custom.central_asia,,line
#9-5-1,complete,UNESCO Institute for Statistics (UIS),,,custom.central_asia,,line
#9-5-2,complete,UNESCO Institute for Statistics (UIS) ,,,custom.central_asia,,line
#9-a-1,complete,Organisation for Economic Co-operation and Development (OECD),,,custom.central_asia,,line
#9-b-1,complete,United Nations Industrial Development Organization (UNIDO),,,custom.central_asia,,line
#9-c-1,complete,International Telecommunication Union (ITU),,,custom.central_asia,,line
