Year,SeriesCode,Country,Disability status,Sex,Value
2014,SL_TLF_UEMDIS_19ICLS,Slovakia,Persons without disability,Female,13.74
2014,SL_TLF_UEMDIS_19ICLS,Slovakia,Persons with disability,Male,31.4
2014,SL_TLF_UEMDIS_19ICLS,Slovakia,Persons with disability,Both sexes,30.86
2014,SL_TLF_UEMDIS_19ICLS,Slovakia,Total or no breakdown,Female,14.32
2015,SL_TLF_UEMDIS_19ICLS,Slovakia,Persons with disability,Male,25.48
2015,SL_TLF_UEMDIS_19ICLS,Slovakia,Total or no breakdown,Male,12.68
2015,SL_TLF_UEMDIS_19ICLS,Slovakia,Persons with disability,Both sexes,29.95
2015,SL_TLF_UEMDIS_19ICLS,Slovakia,Persons without disability,Male,12.39
2015,SL_TLF_UEMDIS_19ICLS,Slovakia,Persons without disability,Female,12.52
2015,SL_TLF_UEMDIS_19ICLS,Slovakia,Total or no breakdown,Both sexes,12.92
2015,SL_TLF_UEMDIS_19ICLS,Slovakia,Persons with disability,Female,33.77
2015,SL_TLF_UEMDIS_19ICLS,Slovakia,Persons without disability,Both sexes,12.45
2015,SL_TLF_UEMDIS_19ICLS,Slovakia,Total or no breakdown,Female,13.19
2016,SL_TLF_UEMDIS_19ICLS,Slovakia,Total or no breakdown,Both sexes,11.39
2016,SL_TLF_UEMDIS_19ICLS,Slovakia,Total or no breakdown,Male,11.0
2016,SL_TLF_UEMDIS_19ICLS,Slovakia,Persons with disability,Both sexes,26.0
2016,SL_TLF_UEMDIS_19ICLS,Slovakia,Persons with disability,Male,27.54
2016,SL_TLF_UEMDIS_19ICLS,Slovakia,Total or no breakdown,Female,11.83
2016,SL_TLF_UEMDIS_19ICLS,Slovakia,Persons without disability,Both sexes,11.03
2016,SL_TLF_UEMDIS_19ICLS,Slovakia,Persons with disability,Female,24.35
2016,SL_TLF_UEMDIS_19ICLS,Slovakia,Persons without disability,Male,10.61
2016,SL_TLF_UEMDIS_19ICLS,Slovakia,Persons without disability,Female,11.51
2017,SL_TLF_UEMDIS_19ICLS,Slovakia,Persons without disability,Female,8.74
2017,SL_TLF_UEMDIS_19ICLS,Slovakia,Persons without disability,Both sexes,8.34
2017,SL_TLF_UEMDIS_19ICLS,Slovakia,Persons without disability,Male,8.0
2017,SL_TLF_UEMDIS_19ICLS,Slovakia,Persons with disability,Both sexes,22.81
2017,SL_TLF_UEMDIS_19ICLS,Slovakia,Total or no breakdown,Male,8.38
2017,SL_TLF_UEMDIS_19ICLS,Slovakia,Total or no breakdown,Female,9.21
2017,SL_TLF_UEMDIS_19ICLS,Slovakia,Persons with disability,Female,25.33
2017,SL_TLF_UEMDIS_19ICLS,Slovakia,Total or no breakdown,Both sexes,8.77
2017,SL_TLF_UEMDIS_19ICLS,Slovakia,Persons with disability,Male,20.71
2018,SL_TLF_UEMDIS_19ICLS,Slovakia,Total or no breakdown,Both sexes,8.38
2018,SL_TLF_UEMDIS_19ICLS,Slovakia,Total or no breakdown,Female,8.48
2018,SL_TLF_UEMDIS_19ICLS,Slovakia,Persons without disability,Both sexes,7.74
2018,SL_TLF_UEMDIS_19ICLS,Slovakia,Persons with disability,Both sexes,29.25
2018,SL_TLF_UEMDIS_19ICLS,Slovakia,Persons with disability,Male,30.32
2018,SL_TLF_UEMDIS_19ICLS,Slovakia,Total or no breakdown,Male,8.3
2018,SL_TLF_UEMDIS_19ICLS,Slovakia,Persons without disability,Male,7.62
2018,SL_TLF_UEMDIS_19ICLS,Slovakia,Persons with disability,Female,28.0
2018,SL_TLF_UEMDIS_19ICLS,Slovakia,Persons without disability,Female,7.88
2019,SL_TLF_UEMDIS_19ICLS,Slovakia,Persons without disability,Female,8.92
2019,SL_TLF_UEMDIS_19ICLS,Slovakia,Persons with disability,Both sexes,23.77
2019,SL_TLF_UEMDIS_19ICLS,Slovakia,Total or no breakdown,Male,9.13
2019,SL_TLF_UEMDIS_19ICLS,Slovakia,Total or no breakdown,Female,9.44
2008,SL_TLF_UEMDIS_19ICLS,Bulgaria,Total or no breakdown,Female,17.66
2008,SL_TLF_UEMDIS_19ICLS,Bulgaria,Persons with disability,Both sexes,36.49
2008,SL_TLF_UEMDIS_19ICLS,Bulgaria,Total or no breakdown,Both sexes,15.56
2009,SL_TLF_UEMDIS_19ICLS,Bulgaria,Total or no breakdown,Male,14.3
2009,SL_TLF_UEMDIS_19ICLS,Bulgaria,Total or no breakdown,Female,16.93
2009,SL_TLF_UEMDIS_19ICLS,Bulgaria,Persons without disability,Female,16.84
2009,SL_TLF_UEMDIS_19ICLS,Bulgaria,Persons with disability,Female,31.85
2009,SL_TLF_UEMDIS_19ICLS,Bulgaria,Total or no breakdown,Both sexes,15.53
2009,SL_TLF_UEMDIS_19ICLS,Bulgaria,Persons with disability,Both sexes,38.58
2019,SL_TLF_UEMDIS_19ICLS,Slovakia,Persons without disability,Both sexes,8.89
2019,SL_TLF_UEMDIS_19ICLS,Slovakia,Persons without disability,Male,8.86
2019,SL_TLF_UEMDIS_19ICLS,Slovakia,Total or no breakdown,Both sexes,9.27
2019,SL_TLF_UEMDIS_19ICLS,Slovakia,Persons with disability,Male,21.69
2019,SL_TLF_UEMDIS_19ICLS,Slovakia,Persons with disability,Female,25.41
2020,SL_TLF_UEMDIS_19ICLS,Slovakia,Persons without disability,Both sexes,7.5
2020,SL_TLF_UEMDIS_19ICLS,Slovakia,Total or no breakdown,Male,7.79
2020,SL_TLF_UEMDIS_19ICLS,Slovakia,Persons with disability,Both sexes,21.08
2020,SL_TLF_UEMDIS_19ICLS,Slovakia,Persons with disability,Male,24.59
2020,SL_TLF_UEMDIS_19ICLS,Slovakia,Persons without disability,Female,7.66
2020,SL_TLF_UEMDIS_19ICLS,Slovakia,Total or no breakdown,Both sexes,7.87
2020,SL_TLF_UEMDIS_19ICLS,Slovakia,Total or no breakdown,Female,7.95
2020,SL_TLF_UEMDIS_19ICLS,Slovakia,Persons without disability,Male,7.37
2020,SL_TLF_UEMDIS_19ICLS,Slovakia,Persons with disability,Female,17.57
2005,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Female,16.18
2005,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Female,25.79
2005,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Female,15.99
2005,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Both sexes,31.12
2005,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Both sexes,14.5
2005,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Male,34.56
2005,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Both sexes,14.88
2005,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Male,13.25
2005,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Male,13.79
2006,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Both sexes,13.96
2006,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Both sexes,28.79
2006,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Male,12.94
2006,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Female,15.21
2006,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Both sexes,13.67
2006,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Male,12.63
2006,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Male,27.85
2006,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Female,14.94
2006,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Female,30.1
2007,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Both sexes,12.65
2007,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Female,33.33
2007,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Both sexes,12.23
2007,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Both sexes,34.07
2007,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Male,34.58
2007,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Female,13.95
2007,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Male,11.09
2007,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Male,11.58
2007,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Female,13.61
2008,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Male,29.53
2008,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Both sexes,11.11
2008,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Both sexes,10.64
2008,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Female,32.67
2008,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Female,11.79
2008,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Male,10.15
2008,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Both sexes,30.94
2008,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Male,9.68
2008,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Female,12.27
2009,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Both sexes,11.66
2009,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Male,11.36
2009,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Male,11.03
2009,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Female,12.43
2009,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Male,27.27
2009,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Female,36.57
2009,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Female,13.21
2009,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Both sexes,32.49
2009,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Both sexes,12.2
2010,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Male,35.15
2010,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Female,33.5
2010,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Female,15.07
2010,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Male,13.71
2010,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Both sexes,34.3
2010,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Both sexes,14.33
2010,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Male,13.06
2010,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Both sexes,13.65
2010,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Female,14.36
2011,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Both sexes,36.33
2011,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Female,41.71
2011,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Both sexes,15.08
2011,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Male,14.61
2011,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Male,15.12
2011,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Both sexes,15.76
2011,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Male,31.29
2011,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Female,16.52
2011,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Female,15.63
2012,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Female,38.34
2012,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Male,38.99
2012,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Female,17.56
2012,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Both sexes,38.69
2012,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Female,18.18
2012,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Both sexes,16.64
2012,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Both sexes,17.3
2012,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Male,15.86
2012,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Male,16.55
2013,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Both sexes,18.42
2013,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Both sexes,42.58
2013,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Both sexes,17.81
2013,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Female,18.87
2013,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Female,18.35
2013,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Female,38.51
2013,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Male,17.35
2013,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Male,18.03
2013,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Male,46.37
2014,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Female,33.6
2014,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Male,45.71
2014,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Female,20.44
2014,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Male,16.72
2014,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Both sexes,39.94
2014,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Female,20.74
2014,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Male,17.33
2014,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Both sexes,18.88
2014,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Both sexes,18.41
2015,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Female,19.6
2015,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Both sexes,35.76
2015,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Both sexes,16.47
2015,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Both sexes,17.0
2015,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Male,39.51
2015,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Male,14.79
2015,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Female,31.84
2015,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Male,14.14
2015,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Female,19.23
2016,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Female,32.33
2016,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Male,14.2
2016,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Both sexes,16.46
2016,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Male,46.14
2016,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Male,13.57
2016,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Female,19.06
2016,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Female,18.75
2016,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Both sexes,39.17
2016,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Both sexes,15.98
2017,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Both sexes,32.63
2017,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Male,11.88
2017,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Female,16.66
2017,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Both sexes,14.43
2017,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Female,28.35
2017,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Male,12.5
2017,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Male,37.22
2017,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Both sexes,13.92
2017,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Female,16.29
2018,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Both sexes,35.23
2018,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Both sexes,11.33
2018,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Male,10.44
2018,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Both sexes,11.9
2018,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Female,13.56
2018,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Female,32.29
2018,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Female,13.13
2018,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Male,9.75
2018,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Male,37.55
2019,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Both sexes,10.07
2019,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Female,11.26
2019,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Male,9.03
2019,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Female,26.31
2019,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Male,32.02
2019,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Male,8.44
2019,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Both sexes,9.56
2019,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Both sexes,29.32
2019,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Female,10.86
2020,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Female,11.01
2020,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Female,27.28
2020,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Male,9.4
2020,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Female,11.32
2020,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Both sexes,9.84
2020,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Both sexes,34.93
2020,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Male,8.83
2020,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Both sexes,10.29
2020,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Male,42.42
2021,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Male,58.08
2021,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Female,10.77
2021,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Both sexes,37.68
2021,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Female,10.58
2021,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons with disability,Female,19.66
2021,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Both sexes,9.59
2021,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Male,9.5
2021,SL_TLF_UEMDIS_19ICLS,Slovenia,Total or no breakdown,Both sexes,10.09
2021,SL_TLF_UEMDIS_19ICLS,Slovenia,Persons without disability,Male,8.72
2004,SL_TLF_UEMDIS_19ICLS,Spain,Persons with disability,Male,25.61
2004,SL_TLF_UEMDIS_19ICLS,Spain,Total or no breakdown,Both sexes,14.67
2004,SL_TLF_UEMDIS_19ICLS,Spain,Persons without disability,Female,19.07
2004,SL_TLF_UEMDIS_19ICLS,Spain,Persons without disability,Both sexes,14.2
2004,SL_TLF_UEMDIS_19ICLS,Spain,Persons without disability,Male,10.92
2004,SL_TLF_UEMDIS_19ICLS,Spain,Total or no breakdown,Female,19.39
2004,SL_TLF_UEMDIS_19ICLS,Spain,Persons with disability,Female,26.17
2004,SL_TLF_UEMDIS_19ICLS,Spain,Persons with disability,Both sexes,25.86
2004,SL_TLF_UEMDIS_19ICLS,Spain,Total or no breakdown,Male,11.46
2005,SL_TLF_UEMDIS_19ICLS,Spain,Persons without disability,Both sexes,12.21
2005,SL_TLF_UEMDIS_19ICLS,Spain,Persons without disability,Female,16.53
2005,SL_TLF_UEMDIS_19ICLS,Spain,Persons with disability,Male,20.4
2005,SL_TLF_UEMDIS_19ICLS,Spain,Total or no breakdown,Female,16.61
2005,SL_TLF_UEMDIS_19ICLS,Spain,Total or no breakdown,Both sexes,12.5
2005,SL_TLF_UEMDIS_19ICLS,Spain,Persons without disability,Male,9.24
2005,SL_TLF_UEMDIS_19ICLS,Spain,Persons with disability,Both sexes,19.62
2005,SL_TLF_UEMDIS_19ICLS,Spain,Persons with disability,Female,18.58
2005,SL_TLF_UEMDIS_19ICLS,Spain,Total or no breakdown,Male,9.66
2006,SL_TLF_UEMDIS_19ICLS,Spain,Total or no breakdown,Male,9.03
2006,SL_TLF_UEMDIS_19ICLS,Spain,Persons without disability,Female,15.39
2006,SL_TLF_UEMDIS_19ICLS,Spain,Persons without disability,Both sexes,11.42
2006,SL_TLF_UEMDIS_19ICLS,Spain,Total or no breakdown,Both sexes,11.74
2006,SL_TLF_UEMDIS_19ICLS,Spain,Total or no breakdown,Female,15.54
2006,SL_TLF_UEMDIS_19ICLS,Spain,Persons without disability,Male,8.62
2006,SL_TLF_UEMDIS_19ICLS,Spain,Persons with disability,Male,21.62
2006,SL_TLF_UEMDIS_19ICLS,Spain,Persons with disability,Female,18.53
2006,SL_TLF_UEMDIS_19ICLS,Spain,Persons with disability,Both sexes,20.02
2007,SL_TLF_UEMDIS_19ICLS,Spain,Persons without disability,Male,8.63
2007,SL_TLF_UEMDIS_19ICLS,Spain,Total or no breakdown,Female,13.99
2007,SL_TLF_UEMDIS_19ICLS,Spain,Persons without disability,Female,13.49
2007,SL_TLF_UEMDIS_19ICLS,Spain,Persons with disability,Male,13.92
2007,SL_TLF_UEMDIS_19ICLS,Spain,Persons with disability,Both sexes,18.85
2007,SL_TLF_UEMDIS_19ICLS,Spain,Persons without disability,Both sexes,10.66
2007,SL_TLF_UEMDIS_19ICLS,Spain,Total or no breakdown,Male,8.82
2007,SL_TLF_UEMDIS_19ICLS,Spain,Total or no breakdown,Both sexes,10.99
2007,SL_TLF_UEMDIS_19ICLS,Spain,Persons with disability,Female,24.35
2008,SL_TLF_UEMDIS_19ICLS,Spain,Total or no breakdown,Both sexes,12.24
2008,SL_TLF_UEMDIS_19ICLS,Spain,Total or no breakdown,Female,13.24
2008,SL_TLF_UEMDIS_19ICLS,Spain,Persons without disability,Both sexes,12.11
2008,SL_TLF_UEMDIS_19ICLS,Spain,Total or no breakdown,Male,11.49
2008,SL_TLF_UEMDIS_19ICLS,Spain,Persons with disability,Female,22.46
2008,SL_TLF_UEMDIS_19ICLS,Spain,Persons with disability,Male,21.25
2008,SL_TLF_UEMDIS_19ICLS,Spain,Persons without disability,Female,13.08
2008,SL_TLF_UEMDIS_19ICLS,Spain,Persons with disability,Both sexes,21.87
2008,SL_TLF_UEMDIS_19ICLS,Spain,Persons without disability,Male,11.37
2009,SL_TLF_UEMDIS_19ICLS,Spain,Persons with disability,Male,34.6
2009,SL_TLF_UEMDIS_19ICLS,Spain,Persons without disability,Male,19.87
2009,SL_TLF_UEMDIS_19ICLS,Spain,Total or no breakdown,Male,20.09
2009,SL_TLF_UEMDIS_19ICLS,Spain,Total or no breakdown,Both sexes,20.34
2009,SL_TLF_UEMDIS_19ICLS,Spain,Total or no breakdown,Female,20.67
2009,SL_TLF_UEMDIS_19ICLS,Spain,Persons with disability,Both sexes,32.93
2009,SL_TLF_UEMDIS_19ICLS,Spain,Persons without disability,Female,20.48
2009,SL_TLF_UEMDIS_19ICLS,Spain,Persons with disability,Female,31.04
2009,SL_TLF_UEMDIS_19ICLS,Spain,Persons without disability,Both sexes,20.14
2010,SL_TLF_UEMDIS_19ICLS,Spain,Persons with disability,Female,36.37
2010,SL_TLF_UEMDIS_19ICLS,Spain,Total or no breakdown,Both sexes,22.39
2010,SL_TLF_UEMDIS_19ICLS,Spain,Persons without disability,Female,23.31
2010,SL_TLF_UEMDIS_19ICLS,Spain,Total or no breakdown,Male,21.5
2010,SL_TLF_UEMDIS_19ICLS,Spain,Persons with disability,Male,28.46
2010,SL_TLF_UEMDIS_19ICLS,Spain,Total or no breakdown,Female,23.5
2010,SL_TLF_UEMDIS_19ICLS,Spain,Persons without disability,Both sexes,22.26
2010,SL_TLF_UEMDIS_19ICLS,Spain,Persons with disability,Both sexes,32.44
2010,SL_TLF_UEMDIS_19ICLS,Spain,Persons without disability,Male,21.42
2011,SL_TLF_UEMDIS_19ICLS,Spain,Total or no breakdown,Female,23.82
2011,SL_TLF_UEMDIS_19ICLS,Spain,Persons with disability,Both sexes,46.62
2011,SL_TLF_UEMDIS_19ICLS,Spain,Persons without disability,Both sexes,23.15
2011,SL_TLF_UEMDIS_19ICLS,Spain,Persons without disability,Female,23.67
2011,SL_TLF_UEMDIS_19ICLS,Spain,Total or no breakdown,Male,23.0
2011,SL_TLF_UEMDIS_19ICLS,Spain,Persons with disability,Male,53.37
2011,SL_TLF_UEMDIS_19ICLS,Spain,Persons with disability,Female,39.34
2011,SL_TLF_UEMDIS_19ICLS,Spain,Total or no breakdown,Both sexes,23.36
2011,SL_TLF_UEMDIS_19ICLS,Spain,Persons without disability,Male,22.75
2012,SL_TLF_UEMDIS_19ICLS,Spain,Total or no breakdown,Both sexes,27.64
2012,SL_TLF_UEMDIS_19ICLS,Spain,Total or no breakdown,Male,26.48
2012,SL_TLF_UEMDIS_19ICLS,Spain,Persons without disability,Male,26.26
2012,SL_TLF_UEMDIS_19ICLS,Spain,Persons without disability,Both sexes,27.53
2012,SL_TLF_UEMDIS_19ICLS,Spain,Persons with disability,Male,49.61
2012,SL_TLF_UEMDIS_19ICLS,Spain,Persons with disability,Female,27.08
2012,SL_TLF_UEMDIS_19ICLS,Spain,Total or no breakdown,Female,29.07
2012,SL_TLF_UEMDIS_19ICLS,Spain,Persons without disability,Female,29.08
2012,SL_TLF_UEMDIS_19ICLS,Spain,Persons with disability,Both sexes,40.15
2013,SL_TLF_UEMDIS_19ICLS,Spain,Total or no breakdown,Female,30.5
2013,SL_TLF_UEMDIS_19ICLS,Spain,Persons without disability,Female,30.17
2013,SL_TLF_UEMDIS_19ICLS,Spain,Persons without disability,Male,28.2
2013,SL_TLF_UEMDIS_19ICLS,Spain,Persons with disability,Both sexes,45.0
2013,SL_TLF_UEMDIS_19ICLS,Spain,Total or no breakdown,Both sexes,29.31
2013,SL_TLF_UEMDIS_19ICLS,Spain,Total or no breakdown,Male,28.32
2013,SL_TLF_UEMDIS_19ICLS,Spain,Persons without disability,Both sexes,29.09
2013,SL_TLF_UEMDIS_19ICLS,Spain,Persons with disability,Female,51.21
2013,SL_TLF_UEMDIS_19ICLS,Spain,Persons with disability,Male,38.41
2014,SL_TLF_UEMDIS_19ICLS,Spain,Persons without disability,Male,26.17
2014,SL_TLF_UEMDIS_19ICLS,Spain,Total or no breakdown,Female,29.63
2014,SL_TLF_UEMDIS_19ICLS,Spain,Persons without disability,Female,29.34
2014,SL_TLF_UEMDIS_19ICLS,Spain,Total or no breakdown,Both sexes,27.86
2014,SL_TLF_UEMDIS_19ICLS,Spain,Persons with disability,Female,49.96
2014,SL_TLF_UEMDIS_19ICLS,Spain,Persons with disability,Both sexes,47.96
